firstname;derived_gender
teodor;male
armanca;female
ioan;male
iordache;male
tudor;male
gogu;male
nistor;male
dumitru;male
vasile;male
stefan;male
ion;male
ana;female
sofia;female
maria;female
eftina;female
ioana;female
polina;female
rada;female
ilinca;female
magda;female
floarea;female
gheorghe;male
ilie;male
tudorica;female
caterina;female
leana;female
culica;female
olteanu;male
bacriu;male
guiu;male
naie;male
constantin;male
marin;male
preda;male
marita;female
florica;female
zamfira;female
sevastita;female
ghorghita;female
alex;male
tudorita;female
costica;male
elisabeta;female
zaharia;male
petre;male
radu;male
nicolae;male
mihai;male
antonie;male
silica;undetermined
paun;male
tudorache;male
titu;male
winu;male
iorgu;male
valeriu;male
iandu;male
gica;female
vladimir;male
cadana;female
antonie;male
saluna;female
leonora;female
mitza;female
boana;female
linea;female
vasilica;female
lica;female
macia;female
lucretia;female
pendelia;female
gheorghe;male
lornita;female
tudor;male
privigbetoarea;female
porumbita;female
nicolae;male
nicolita;female
florea;female
olimpiada;female
stelinaca;female
ecaterina;female
marina;female
ghita;male
ciuciurica;undetermined
bancuta;female
radian;undetermined
bratasanca;undetermined
frasina;female
constantina;female
fantera;female
tache;male
ghe;male
nic;male
rapila;male
sima;male
iancu;male
stan;male
stanica;undetermined
stere;male
stefan;male
craciun;male
marinache;undetermined
sandu;male
sindita;undetermined
piperos;undetermined
smocrina;undetermined
tocosca;undetermined
patulowita;undetermined
marca;female
calota;undetermined
costea;male
alexandru;male
iancu;male
mihalache;male
pauna;female
papelca;female
frusina;female
toma;male
aglaia;female
apostol;male
nicu;male
iosif;male
niculai;male
fanica;female
duman;male
victor;male
stoica;male
bucur;male
dobre;male
ibraim;male
anife;female
chiriac;male
neculai;male
anton;male
constantin;male
tinca;female
tita;female
natalia;female
elena;female
aristita;female
valentina;female
anica;female
petru;male
orja;female
zoita;female
profira;female
smaranda;female
aneta;female
domnica;female
lascarache;undetermined
moise;male
lascar;undetermined
ileana;female
rarita;female
janeta;female
constanta;female
paraschiva;female
ruxanda;female
melania;female
margareta;female
chira;female
iosef;male
tomi;male
nicolaie;male
simien;male
cristina;female
aurica;female
ghizela;female
stana;female
iacob;male
augustin;male
sofron;male
zolti;male
dancea;male
axente;male
ioancu;male
valeria;female
carolina;female
crucita;female
luiza;female
iova;female
virgil;male
pantelie;male
mituta;female
niculina;female
arghira;female
gherghina;female
victoria;female
gena;female
paula;female
mironia;undetermined
teodora;female
geamaila;undetermined
florianc;undetermined
grigore;male
biter;undetermined
fistogeanu;undetermined
ilie;male
vasile;male
sica;undetermined
ion;male
achim;male
mocovei;undetermined
nicu;male
stelica;female
marioara;female
ciocoi;undetermined
rista;undetermined
cacoana;undetermined
crisana;female
lenca;female
lociu;undetermined
emil;male
greaco;undetermined
aurel;male
sava;undetermined
costache;male
catinca;female
olga;female
tasia;female
virginia;female
anghel;male
trifu;male
arghitan;male
horea;male
milan;male
bora;female
rozalia;female
versan;female
liuba;female
iuliana;female
ruxandra;female
nastasia;female
tudora;female
turda;female
puica;undetermined
gheorghita;female
mascale;undetermined
cristea;male
ctn;male
mita;female
margarita;female
roza;female
iordana;female
didina;female
vasilca;female
catrina;female
parasciva;female
voica;undetermined
panaghia;female
ursuleac;female
manta;female
sultana;female
iftimie;female
susana;female
joan;male
adolf;undetermined
matel;undetermined
niculae;male
traian;male
francisc;male
luca;male
avram;male
valerie;undetermined
amoru;undetermined
steluta;female
ludovica;female
stela;female
amalia;female
eugenia;female
efronia;female
lina;female
vironica;female
vilma;female
eva;female
paulina;female
rusalin;male
padure;male
